Title(s),Notes/Reasons,Developer,Publisher
Wars & Warriors: Joan of Arc,"RPG based oh the hundred year war between France and England. It released on PC in 2004. An Xbox version was announced for May 2004, but cancelled. [ 933 ]",Enlight Software,Enlight Software
War World: Tactical Combat,Mech game announced in July 2004 for PC and Xbox. The game was planned to release in Fall of 2004. [ 934 ] The game got delayed to 2005. The game was published in 2005 on Windows and on XBLA in 2008. The original Xbox version was cancelled between September 2004 and July 2005 [ 935 ],Third Wave,Ubisoft
Wave Rally,"A jet ski racing game originally released on the PlayStation 2 in 2001, an Xbox version was announced, but never materialized. [ 936 ]",Opus Studios,Eidos Interactive
West Coast Choppers,Motorcycle racing simulation based on the Discovery Chanel series. [ 937 ] The game saw listings on Gamespy in August 2004 [ 938 ] and was planned to release on 6. June 2005 [ 939 ] [ 940 ] and later May 2006 for Xbox. [ 941 ] A PlayStation 2 version was also planned. [ 942 ] [ 938 ] In 2005 the publishing rights were sold to 2K Games. The game was planned to sell at 20$. [ 943 ],Vaporware,Global Star Software / 2K Games
Wheelman,"3rd person shooter with racing elements / open world game, developed for Xbox and PlayStation 2. Midway bought the developer and closed its doors right before Christmas 2005. The game changed platforms to the Xbox 360 and PlayStation 3 and became Vin Diesels Wheelman [ 944 ] A prototype of the game surfaced in 2020.",Rat Bag Games,Midway
Wiggles,,SEK Ost,Innonics
Wild Earth,"A safari simulator, released in 2006 for Windows and in 2008 for Nintendo Wii. The game was originally planned for Xbox and Windows and won the game design innovation, visual art innovation, and grand prize at the Independent Games Festival in 2003. The Xbox version was cancelled between December 2005 and early 2006 after the developers terminated the publishing contracts with Digital Jester. [ 945 ]",Super X Studios,Ubi Soft
Wild Justice,A Horror Wild West FPS in development for Xbox and PlayStation 2. A teaser trailer and playable demo were produced and pitched to different  publishers but couldn't find a deal. The game was similar to Darkwatch. [ 946 ],Primythive Studio,
Witchblade,A Beat'em up that was pitched in 2002 that takes place in the Witchblade universe. ( The Xbox 360 game The Darkness belongs in it as well) The project was cancelled very early in development. [ 947 ],The Collective,
World's Scariest Police Chases 2: Code Red,"A sequel to World's Scariest Police Chases planned for the PlayStation 2, GameCube and Xbox. [ 948 ] [ 949 ] It should contained 20 police chases and 50 vehicles. [ 950 ] A prototype of the game was leaked. [ 951 ]",HotGen Studios Limited,"Ingram Entertainment , Vivendi Games"
Worlds Sports Cars,Racing Simulation released on PC in 2001. Ports for PlayStation 2 and Xbox were planned but never released. [ 952 ],West Racing,Empire Interactive
Worms Battle Rally,"Worms franchise combat racing game developed in 2003/2004 planned for PlayStation 2, Xbox, and GameCube. Production was halted and the project cancelled do to a publisher deal. [ 953 ] The soundtrack of the game was leaked in 2021. [ 954 ]",Team 17,
Wreck’n Krew,"Action game was developed for PlayStation 2, Xbox and GameCube. The game was announced in late 2002. [ 955 ] It describes itself as a mix ""of Blast Corps (N64), Power Stone (DC) and Bomber-Man"" and ""paying homage to cult TV shows of the 70's and 80's"". The player takes over a team of four demolition experts that has to do jobs and at the same time fight a former child star and his robots. The game was cancelled in 2004 when Darkblack ran out of money and closed its doors. [ 956 ] [ 957 ]",Darkblack Ltd. / C4,
WWE Crush Hour,"Announced in 2002 for Xbox, GameCube and PlayStation 2, the game features 30 WWE Superstars that race/fight against each other. It was planned to release in early 2003. The game released for PlayStation 2 and GameCube. The Xbox Version was cancelled for unknown reasons. [ 958 ] [ 959 ]",Pacific Coast Power & Light,THQ
WWE Titans: Parts Unknown,WWE licensed fighting game in a fantasy setting and destructible environments. It was planned to release on PlayStation 2 and Xbox Concepts art got published. [ 960 ],Next Level Games,THQ
X³: Reunion,Space trading combat game and the 3rd installment of the X Universe. It was first planned to release in Q1 2006. [ 961 ] The PC version released in Fall 2005. On an Xbox Magazine Demo Disc a trailer was found. [ 962 ] As late as November 2005 the Xbox Version got cancelled. [ 963 ],Egosoft,Deep Silver
X10,"First person Shooter planned for PlayStation 2, Xbox, GameCube and PC. [ 964 ] It was planned to release the game at Easter 2004. [ 965 ]",Warthog Games,Conspiracy Entertainment
Xavier Fox: The Lost City,An RPG in development from 2001 and officially announced in 2006. [ 966 ] [ 967 ] In July 2024 a prototype was found by Video Games Sage user Armageddon Potato. [ 968 ],Vision Games,
Xgirl,Virtual Girlfriend Simulator. The game was in development in 2000 and planned to be a launch title for the console. [ 969 ] [ 970 ],Angel Studios,Microsoft
XTango: Shuffling Roses,"Also known as Digi Dance . [ 971 ] A dual-player collaborative dance-simulation game where two players play against AI opponents in virtual competitions. It had a control scheme similar to Virtua Fighter. In the Korean description it is described as an extreme sports game. [ 972 ] It was started developed in 2003 [ 973 ] , announced in 2004 and shown at E3 2004 and TGS 2004. [ 974 ] [ 975 ] [ 976 ] In 2005 a PlayStation 2 Version was also planned. The game was planned to release at the end of 2005. [ 977 ] BinaryCrafts website was shut down in early 2005 and the project wasn't seen again. IGN showed a playable demo on the TGS. [ 978 ] Might be cancelled because it could not find a distributor. [ 979 ]",BinaryCraft,BinaryCraft/Game Infinity
"X-Files: Resist or Serve, The","Licensed survival horror game announced in December 2002 for Xbox and PlayStation 2, with an release date in Spring 2003. [ 980 ] The game released in 2004 on PlayStation 2. The Xbox version was cancelled at some point.",Black Ops Entertainment,Vivendi Universal Games
XxX,Licensed game of the XxX movie franchise. A 2004 dated prototype has surfaced in 2022. [ 981 ],,
Yamasa Digi Cross,The Yamasa Digi series is a digital slot machine franchise popular in Japan and collaborated with different videogame franchises like Ridge Racer. [ 982 ] An Xbox game about Digimon was in development in around 2002 with Xbox Live support. [ 983 ] [ 984 ],Yamasa Entertainment,Yamasa Entertainment
"Y-Project, The","Action Adventure RPG game announced in 2000 for Xbox and PC. It was bases in the year 2200. The Game was planned to release in 2003. [ 985 ] No publisher could be found by 2002 and the studio went down. Afterwards some ex employees worked again on the game for a while. [ 986 ] [ 987 ] A  new studio called Joylabs was created and the game put back in development there by an US investor but tossed aside again in 2003 for another unreleased game called ""Das Reich 2005"". [ 988 ]",Westka Interactive,
Zengeki,Samurai themed action game announced at TGS 2001. [ 989 ],Genki,Genki
Zanzarah,"Action Adventure announced in 2001 [ 990 ] and released in April 2002 on PC. Version for Xbox, PlayStation 2 and GameCube were announced in 2003 and shown at E3 2003. [ 991 ] [ 992 ] The publisher Xicat Interactive closed its doors the same year. [ 993 ] After the THQ closing Daedalic acquired the rights to the game. [ 994 ]",Funatics Developmen,THQ / Xicat Interactive
Zeta Quadrant,Game that was in development in 2002. A Prototype surfaced in 2020 [ 995 ],,
Zidane: Football Generation,"also known as Zidane Soccer Generation Football/Soccer simulation announced in January 2002 for PlayStation, PlayStation 2, Xbox and PC. The game should release in May 2002 and the Xbox version at the end of 2002. [ 996 ] The game was later delayed to October 2002. [ 997 ] In the same month the publisher went bankrupt. Only handheld versions for Game Boy Color and Game Boy Advance were released under that name. The developer acquired the publishing license and released the game as Calcio 2003 in Italy and Football Generation in the rest of Europe on PC. [ 998 ] A PlayStation 2 version was published by Midas Interactive in 2006, 3 years after the developer also went bankrupt. [ 999 ] [ 1000 ]",Trecision,Cryo Interactive
Zombies,"A first-person shooter with survival horror elements. It was announced in 2003 as a PAL exclusive for the PlayStation 2, original Xbox, and PC platforms. [ 1001 ] [ 1002 ] It was cancelled in February 2005, because no publisher could be found. [ 1003 ] It's also known as Zombies: The Awakening",Krysalide,
Zombies Ate My Neighbors 2,Unannounced sequel to the SNES game by LucasArts. The game never was approved by LucasArts. Some screenshots of a prototype/concept were send by the creator of the game to YouTuber DJ Slope. [ 1004 ],,
